classes,features,classifier,estimator,classes,acc,f1
'CN_MCI',1000,'RandomForest',300,'CN_MCI',0.618663594,0.567148323
'CN_MCI',600,'RandomForest',500,'CN_MCI',0.617736815,0.567328238
'CN_MCI',1000,'RandomForest',500,'CN_MCI',0.617721454,0.56477756
'CN_MCI',1000,'RandomForest',700,'CN_MCI',0.617716334,0.562662861
'CN_MCI',600,'RandomForest',100,'CN_MCI',0.617101895,0.575713751
'CN_MCI',800,'RandomForest',1000,'CN_MCI',0.615821813,0.558567246
'CN_MCI',600,'RandomForest',1000,'CN_MCI',0.614874552,0.562592733
'CN_MCI',1000,'RandomForest',1000,'CN_MCI',0.61390169,0.556986874
'MCI_AD',200,'GradientBoosting',1000,'MCI_AD',0.806368627,0.786658934
'MCI_AD',200,'GradientBoosting',700,'MCI_AD',0.802384314,0.78194709
'MCI_AD',200,'GradientBoosting',500,'MCI_AD',0.794831373,0.773846518
'MCI_AD',200,'GradientBoosting',300,'MCI_AD',0.786541176,0.763886564
'MCI_AD',400,'GradientBoosting',100,'MCI_AD',0.77814902,0.740846592
'MCI_AD',1000,'RandomForest',700,'MCI_AD',0.777803922,0.680607637
'MCI_AD',1000,'RandomForest',300,'MCI_AD',0.777803922,0.680607637
'MCI_AD',1000,'RandomForest',500,'MCI_AD',0.777803922,0.680607637
'MCI_AD',800,'RandomForest',1000,'MCI_AD',0.777803922,0.680607637
'MCI_AD',1000,'RandomForest',1000,'MCI_AD',0.777803922,0.680607637
'MCI_AD',1000,'RandomForest',100,'MCI_AD',0.777411765,0.683114019
'MCI_AD',800,'RandomForest',700,'MCI_AD',0.777403922,0.680408455
'MCI_AD',600,'RandomForest',300,'MCI_AD',0.777403922,0.681097968
'MCI_AD',600,'RandomForest',500,'MCI_AD',0.777003922,0.680209272
'MCI_AD',600,'RandomForest',1000,'MCI_AD',0.777003922,0.680209272
'MCI_AD',400,'GradientBoosting',300,'MCI_AD',0.777003922,0.744943777
'MCI_AD',800,'RandomForest',300,'MCI_AD',0.777003922,0.680209272
'MCI_AD',800,'RandomForest',500,'MCI_AD',0.777003922,0.680209272
