Gene,importance
11755961_x_at_POLL,0.000147906
11739805_a_at_RASAL2,0.000147312
11739061_at_SLC7A5,0.000147017
11754275_s_at_ST6GALNAC4,0.000144755
11736767_at_WNT3,0.000141661
11731041_a_at_FBXO24,0.000140405
11745937_a_at_TCF3,0.000137144
11759894_at_GCLC,0.000135229
11734736_a_at_FAR1,0.000135139
11730371_a_at_EIF4E3,0.000131303
11731209_s_at_C15ORF59,0.000130755
11725998_a_at_FAS,0.000129671
11724527_x_at_FAHD1,0.000129648
11724008_a_at_ENTPD1,0.000125383
AFFX-r2-Bs-thr-M_s_at_nan,0.000124324
11748596_a_at_KLHL2,0.000123177
11727103_at_IGF2BP1,0.000123049
11736091_s_at_GCA,0.000120826
11762257_at_nan,0.000118819
11736696_a_at_HEMGN,0.000117406
11753836_x_at_BANF1,0.00011536
11753080_s_at_DPF2,0.000114625
11739179_s_at_ST6GALNAC4,0.000114526
11746366_x_at_EPB41,0.000113652
11752508_a_at_HNRNPLL,0.000112679
11724526_at_FAHD1,0.00011168
11724458_at_HCN4,0.000105967
11747363_a_at_CYB561A3,0.000105688
11716702_a_at_SEMG1,0.000105644
AFFX-r2-Bs-dap-5_at_AFFX-r2-TagJ-5_at,0.000105233
AFFX-DapX-3_at_AFFX-Nonspecific-GC13_at,0.000105145
11730832_at_RANBP10,0.000105024
11756334_x_at_ANXA3,0.000104857
11753175_a_at_ADIPOR1,0.000104361
11746494_x_at_PIP4K2A,0.000100474
11719884_s_at_KAZN,9.91E-05
11717797_at_ZER1,9.86E-05
11738771_at_OR1F1,9.78E-05
11749792_a_at_PBX1,9.71E-05
11739781_a_at_TGM2,9.63E-05
11736206_a_at_OSBP2,9.57E-05
11742943_a_at_CKM,9.45E-05
11740116_s_at_SSBP3,9.34E-05
11739958_x_at_BCL2L1,9.28E-05
11737438_a_at_BMF,9.28E-05
11751040_a_at_RAB18,9.23E-05
11739338_at_FAM46C,9.20E-05
11759178_at_ENTPD4,9.18E-05
11717501_a_at_HAGH,9.09E-05
11716302_s_at_ACSL1,9.00E-05
11740375_a_at_RGS10,8.99E-05
11755253_a_at_KIAA2018,8.97E-05
11758109_s_at_ZNF428,8.91E-05
11717994_a_at_NR4A1,8.87E-05
11750828_a_at_HIP1R,8.83E-05
11739937_a_at_DYRK3,8.80E-05
11756936_a_at_MBD4,8.71E-05
11755705_a_at_SMIM5,8.61E-05
11729970_a_at_SPTB,8.53E-05
11722970_a_at_CREB5,8.51E-05
11751761_a_at_INTS6,8.31E-05
11726217_a_at_PRDM1,8.29E-05
11755537_s_at_HBG2,8.09E-05
11724061_s_at_OSBPL1A,7.52E-05
11758296_s_at_CDC34,7.29E-05
11757299_x_at_GUK1,7.01E-05
11722182_a_at_ATP6V1C1,7.01E-05
11722679_a_at_PARP8,6.98E-05
11731064_a_at_SMOX,6.91E-05
11721985_a_at_SLC37A3,6.90E-05
11716664_x_at_GDF15,6.58E-05
11740098_a_at_ANK1,6.48E-05
11731446_s_at_SNCA,6.36E-05
11724567_a_at_USP48,6.11E-05
11759592_at_PCGF5,6.11E-05
11740599_at_GPR20,6.11E-05
11750902_x_at_NFIX,6.07E-05
11746626_a_at_HAGH,5.94E-05
11759606_at_nan,5.94E-05
11720955_x_at_CWC22,5.92E-05
11745175_a_at_MKRN1,5.82E-05
11726316_at_SELE,5.81E-05
11721864_s_at_SLC37A3,5.64E-05
11723064_a_at_TMEM18,5.54E-05
11716556_a_at_TNS1,5.50E-05
11720777_x_at_POLL,5.50E-05
11719828_x_at_QPCT,5.38E-05
11734451_at_SULT1B1,5.37E-05
11723027_at_ITLN1,5.36E-05
11717449_a_at_ASCC2,5.27E-05
11739782_a_at_SNCA,5.25E-05
11744861_a_at_DHRS7,5.20E-05
11720884_a_at_HMBS,5.15E-05
11752515_a_at_ODC1,5.15E-05
11757988_s_at_PRUNE2,5.09E-05
AFFX-LysX-3_at_AFFX-ThrX-3_at,4.89E-05
11742801_a_at_MAP2K3,4.76E-05
11717244_at_LSM4,4.74E-05
11716907_s_at_PITHD1,4.72E-05
11739031_s_at_ACTR2,4.67E-05
11727848_a_at_GNA12,4.67E-05
11724079_s_at_E2F2,4.59E-05
11759514_at_nan,4.50E-05
11744327_x_at_UBB,4.38E-05
11756772_a_at_INTS8,4.33E-05
11757938_s_at_NMI,4.27E-05
11757654_x_at_UCP2,4.26E-05
11715258_s_at_PTMS,4.24E-05
11741528_a_at_ACP1,4.23E-05
11716786_s_at_TRAK2,4.19E-05
11717200_a_at_DPM2,4.09E-05
11721675_x_at_GLRX5,4.07E-05
11725954_x_at_RNF10,4.03E-05
11742593_at_OR14C36,3.95E-05
11726166_at_ZNF518B,3.87E-05
11720311_a_at_XRCC5,3.75E-05
11756446_a_at_PITHD1,3.72E-05
11749077_x_at_HDGF,3.72E-05
11755356_x_at_PSMF1,3.44E-05
11725831_at_OTUB2,3.42E-05
11729480_a_at_GUK1,3.40E-05
11750143_a_at_PIGZ,3.27E-05
11720745_a_at_BCL6,3.18E-05
11753517_s_at_YWHAE,3.12E-05
11755661_a_at_KCNMA1,3.10E-05
11721929_x_at_TMCC2,2.97E-05
11758611_s_at_TRIM10,2.95E-05
11744044_s_at_PCYT2,2.93E-05
11745268_a_at_TNS1,2.89E-05
11727901_a_at_HPS1,2.88E-05
11723956_x_at_APOBEC3C,2.66E-05
11760223_at_nan,2.59E-05
11734952_a_at_MBNL3,2.57E-05
11725937_a_at_LGALS3,2.57E-05
AFFX-r2-Bs-thr-5_s_at_nan,2.55E-05
11750601_a_at_ZC3H12D,2.55E-05
11745299_x_at_GYPB,2.55E-05
11739849_x_at_UPK3BL || POLR2J2 || POLR2J3,2.45E-05
11739159_at_FAM8A1,2.43E-05
11727133_at_CPD,2.42E-05
11717871_s_at_KANK2,2.08E-05
11754299_a_at_MXD4,2.05E-05
11718997_at_AHSP,2.00E-05
11743276_s_at_STAG1,2.00E-05
11759588_at_SLC25A35,1.91E-05
11717049_s_at_DES,1.87E-05
11717646_a_at_MCMBP,1.75E-05
11728079_a_at_TBC1D22B,1.73E-05
11740787_a_at_FBXO28,1.58E-05
11747185_x_at_ANK1,1.54E-05
11730162_s_at_SLC6A10P || SLC6A8 || SLC6A10PB*,1.41E-05
11718497_a_at_EXOC1,1.40E-05
11743803_s_at_SEPHS2,1.27E-05
11753980_a_at_ACPL2,1.26E-05
11718384_at_C2ORF68,1.24E-05
11746268_a_at_ZNF630,1.23E-05
11723713_at_E2F1,1.20E-05
11724643_at_SPOPL,1.18E-05
11761447_at_nan,1.15E-05
11731901_a_at_SESN3,1.11E-05
11718853_a_at_ZBED5,9.70E-06
11761856_x_at_ENSG00000230724 || RP4-669L17.10* || ENSG00000237683 || ENSG00000238035,9.70E-06
11720372_at_TESC,9.27E-06
11739205_a_at_TTL,9.22E-06
11750499_s_at_ZNF705E || ZNF705B || ZNF705A || ZNF705D,8.43E-06
AFFX-r2-Bs-phe-M_at_nan,7.89E-06
11754382_a_at_SMIM5,7.27E-06
AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,7.25E-06
11726219_x_at_DMTN,7.16E-06
11719827_a_at_QPCT,7.14E-06
11739339_s_at_FAM46C,7.13E-06
11749795_a_at_NFIX,7.01E-06
11724263_a_at_SHARPIN,6.50E-06
11747661_x_at_DMTN,5.83E-06
11750705_a_at_OSBP2,5.74E-06
11746493_a_at_PIP4K2A,5.58E-06
11752803_x_at_PCSK9,5.49E-06
11722181_a_at_ATP6V1C1,5.42E-06
11757181_x_at_FGFR4,5.00E-06
11746222_a_at_TTBK2,4.77E-06
11726991_s_at_EIF2AK1,4.68E-06
11754090_a_at_SNCA,4.49E-06
11738864_a_at_ABHD12B,4.33E-06
11737974_s_at_PLEKHG5 || TNFRSF25,3.45E-06
11715494_s_at_HBG2,3.38E-06
AFFX-DapX-M_at_AFFX-Nonspecific-GC15_at,3.25E-06
AFFX-r2-Bs-thr-3_s_at_nan,3.14E-06
11753730_a_at_SNCA,2.87E-06
11744978_a_at_ORC4,2.69E-06
11754151_a_at_STXBP5,2.56E-06
AFFX-ThrX-5_at_AFFX-r2-TagF_at,2.55E-06
